experiment,variable,bleu4,rougeL,bertscore,radcliqv1,ratescore,f1chexbert,f1radgraph,green,clear_label_presence,clear_severity,clear_descriptive_location,clear_recommendation
Core,Standard RAG,0.045572225267633555,0.19459075890770622,0.8475215610910635,0.6945557174299868,0.5142640642729407,0.4745393040475008,0.1821351614926484,0.21384134990692363,0.5548399687743949,0.3046448087431694,0.2561958269515875,0.1387405388123299
Core,Label Filter only,0.03822476977455862,0.2009869063426297,0.8481440710239723,0.7310814309129466,0.5073986692023028,0.4346391313604428,0.1992102531847789,0.22286092777896055,0.5517481607645541,0.29508196721311475,0.2387257501310564,0.17653206578918895
Core,Label Format only,0.04535850905244535,0.19554087005114149,0.8473831014555009,0.7091515518863866,0.5154245043189115,0.469712982827737,0.19436622389640348,0.2115292266931611,0.5181265910774108,0.33333333333333337,0.25653802345485294,0.18165138620417545
Core,LaB-RAG,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Filter,No-filter,0.04535850905244535,0.19554087005114149,0.8473831014555009,0.7091515518863866,0.5154245043189115,0.469712982827737,0.19436622389640348,0.2115292266931611,0.5181265910774108,0.33333333333333337,0.25653802345485294,0.18165138620417545
Filter,Exact,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Filter,Partial,0.03678399674354084,0.20052361043179143,0.8483191230258004,0.7192493245130737,0.5011863365352153,0.45655983360901403,0.19896163372905631,0.21592505854800936,0.5296666903224281,0.31612021857923495,0.22649784476654197,0.15161748135003053
Prompt,Naive,0.03822476977455862,0.2009869063426297,0.8481440710239723,0.7310814309129466,0.5073986692023028,0.4346391313604428,0.1992102531847789,0.22286092777896055,0.5517481607645541,0.29508196721311475,0.2387257501310564,0.17653206578918895
Prompt,Simple,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Prompt,Verbose,0.042005311978696495,0.20437368487189284,0.8507040191869266,0.7372193798332632,0.5095195261620401,0.466679677335415,0.20885609468090355,0.22885234073758662,0.5239692001987084,0.2622950819672131,0.22141531156558478,0.15379969035406263
