experiment,variable,bleu4,rougeL,bertscore,radcliqv1,ratescore,f1chexbert,f1radgraph,green,clear_label_presence,clear_severity,clear_descriptive_location,clear_recommendation
Core,Standard RAG,0.02772600455425498,0.1853924054227408,0.8295135018229485,0.5690281159234786,0.4425816783149215,0.4370851370851371,0.10586661698422561,0.20318650793650794,0.4253455988455988,0.19666666666666666,0.2262503963682536,0.14027434845391815
Core,Label Filter only,0.032309506532872005,0.19732845260877888,0.8306982699036598,0.58998536677127,0.4425610583374081,0.5117655122655123,0.1194189792481938,0.21801984126984122,0.4700786435786435,0.18291666666666664,0.22166692707093105,0.13396464640485567
Core,Label Format only,0.04455155436523402,0.21483798577711205,0.8390234044194221,0.6726860820154402,0.44467064568416925,0.5011558441558441,0.15899662322758862,0.20832160894660895,0.46464610389610383,0.18125,0.2364932881210779,0.14693778110274144
Core,LaB-RAG,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Filter,No-filter,0.04455155436523402,0.21483798577711205,0.8390234044194221,0.6726860820154402,0.44467064568416925,0.5011558441558441,0.15899662322758862,0.20832160894660895,0.46464610389610383,0.18125,0.2364932881210779,0.14693778110274144
Filter,Exact,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Filter,Partial,0.042549863431829135,0.2137155305746311,0.8377215534448623,0.6575789716040322,0.4382389897721263,0.5027157287157287,0.15621851247562485,0.21248214285714284,0.4785573593073593,0.20875,0.2230691779507638,0.17243468321119895
Prompt,Naive,0.032309506532872005,0.19732845260877888,0.8306982699036598,0.58998536677127,0.4425610583374081,0.5117655122655123,0.1194189792481938,0.21801984126984122,0.4700786435786435,0.18291666666666664,0.22166692707093105,0.13396464640485567
Prompt,Simple,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Prompt,Verbose,0.04867389108486901,0.21703904819572484,0.8376685944199562,0.6447302204381392,0.44077989731313105,0.5009491341991342,0.13884221327427007,0.23528012265512266,0.4750786435786435,0.15625,0.22559914521287394,0.14131030320842572
Prompt,Instruct,0.04058044995268473,0.20908282925148394,0.8347913867235184,0.6156265727400976,0.44260590940784506,0.49511976911976907,0.12480985281155302,0.23395851370851373,0.4739188311688312,0.18375,0.22027515714455947,0.15671187015666874
Language Model,Mistral-v1,0.02892943905147812,0.17760142352921604,0.825278796851635,0.5877918376694338,0.4422600644092693,0.49919913419913414,0.1341973658453236,0.25915079365079363,0.46640115440115437,0.21875,0.24956935949503464,0.12536980486301352
Language Model,BioMistral,0.010279254210422514,0.1493687716365726,0.8154206249117851,0.51459507870794,0.39994970928068185,0.37720129870129865,0.07326738039597418,0.13855753968253967,0.38186868686868686,0.1475,0.172815118898607,0.13474589245505003
Language Model,Mistral-v3,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Embedding Model,GLoRIA,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Embedding Model,ResNet50,0.0185462494685768,0.1712223830174227,0.8255053335428237,0.5438385783326192,0.4052563314912061,0.41854662004662,0.08687883694592756,0.15527579365079366,0.3998376623376623,0.19458333333333333,0.18069214883866713,0.12008380245968292
Label Quality,Extracted - CheXbert,0.06001138710061483,0.2515490707760886,0.8447276344895362,0.842102942029305,0.4774247032197783,0.9663989343989343,0.1870645625803255,0.28662012987012986,0.7519988622488623,0.34441666666666665,0.284720098276982,0.20224862891209341
Label Quality,Extracted - CheXpert,0.05225463596044137,0.24519473740289166,0.8415112394094467,0.8071504348884491,0.468566612609446,0.8156287878787879,0.1844503026400429,0.26733730158730157,0.6708142135642136,0.3005,0.2897739981687372,0.172050162675304
Label Quality,Predicted - CheXbert,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Label Quality,Predicted - CheXpert,0.036663603697869036,0.2029935572975051,0.8338917598128319,0.6114273082021305,0.45281421286663986,0.47687193362193364,0.1241673004167932,0.20318867243867245,0.47655808080808076,0.24416666666666667,0.23363281763539867,0.15314915136366175
Retrieved Samples,3,0.03758953382336396,0.20481307102474702,0.8360235214233398,0.6560754478712523,0.42770790750293697,0.5126417748917749,0.15137355881087547,0.2163674242424242,0.4834159451659451,0.1975,0.2128487846011908,0.1507920327105453
Retrieved Samples,5,0.04088007948098363,0.21579833186197703,0.8365319004654884,0.6588964113113608,0.44277043208065386,0.5057608225108224,0.14675462196835018,0.2274745670995671,0.48515692640692637,0.20124999999999996,0.23112017375970545,0.14711223174496907
Retrieved Samples,10,0.04271647247655382,0.22166657985270516,0.8375567236542701,0.6722728786956839,0.45371453484743696,0.5123658008658009,0.15224701583310155,0.23641666666666666,0.49652380952380953,0.23049999999999998,0.22204733742815205,0.1602275719275731
