experiment,variable,bleu4,rougeL,bertscore,radcliqv1,ratescore,f1chexbert,f1radgraph,green,clear_label_presence,clear_severity,clear_descriptive_location,clear_recommendation
Core,Standard RAG,0.04373359923230026,0.20089888319989738,0.8578278300454376,0.7047823281934205,0.5241067700967756,0.4087357016415389,0.18253011898106944,0.2529784162719825,0.4514267889001592,0.2461866212185769,0.194474704551922,0.11695567973197142
Core,Label Filter only,0.04230372368201842,0.2022370134517408,0.8587408512767244,0.7304459658417615,0.5306265412018745,0.5059096373966421,0.18906919414984497,0.2617702232759529,0.5119901402389685,0.2849027126828575,0.2048292125930557,0.12280272058684384
Core,Label Format only,0.0428783751313538,0.20725421645094372,0.8611923970209064,0.735812651451579,0.5411026278709766,0.49929139766165753,0.19104266280471502,0.24841701440607097,0.48561797289960906,0.2471523931259764,0.22212303795975616,0.12529226880555683
Core,LaB-RAG,0.04241091851780128,0.20494689587734952,0.861286524589589,0.747385836948687,0.5342361753377058,0.5232846545586213,0.1871145039140858,0.2583118291309599,0.5207422838015083,0.28671353500923163,0.21676537195072432,0.12403732629042663
Filter,No-filter,0.0428783751313538,0.20725421645094372,0.8611923970209064,0.735812651451579,0.5411026278709766,0.49929139766165753,0.19104266280471502,0.24841701440607097,0.48561797289960906,0.2471523931259764,0.22212303795975616,0.12529226880555683
Filter,Exact,0.04241091851780128,0.20494689587734952,0.861286524589589,0.747385836948687,0.5342361753377058,0.5232846545586213,0.1871145039140858,0.2583118291309599,0.5207422838015083,0.28671353500923163,0.21676537195072432,0.12403732629042663
Filter,Partial,0.041385057503835004,0.20501015045648066,0.8613401491894943,0.7330053208529024,0.5352366638346012,0.5127465005287758,0.18836352937266795,0.2590404827230938,0.5114674796396144,0.2729654878568385,0.22133589449006352,0.12764576383827364
Prompt,Naive,0.04230372368201842,0.2022370134517408,0.8587408512767244,0.7304459658417615,0.5306265412018745,0.5059096373966421,0.18906919414984497,0.2617702232759529,0.5119901402389685,0.2849027126828575,0.2048292125930557,0.12280272058684384
Prompt,Simple,0.04241091851780128,0.20494689587734952,0.861286524589589,0.747385836948687,0.5342361753377058,0.5232846545586213,0.1871145039140858,0.2583118291309599,0.5207422838015083,0.28671353500923163,0.21676537195072432,0.12403732629042663
Prompt,Verbose,0.04104844194574915,0.20632581939583783,0.8600624607479923,0.7405949828900199,0.5434161597880731,0.5049243517926943,0.19269326572766973,0.2509910844966235,0.5040154491155769,0.26011219997159496,0.2150984864469018,0.13144639883860496
Prompt,Instruct,0.040541325912819705,0.20448695760814825,0.859367187575782,0.7344261155647512,0.5450978441073108,0.49852993193427786,0.19314145679836645,0.2489903713433752,0.5066793761084345,0.2590541116318705,0.2108771885382156,0.12661339741702296
Language Model,Mistral-v1,0.03443755636877006,0.17292677373710666,0.8454924424404685,0.634277792655434,0.5454381106694871,0.5167491624031888,0.18852702009367117,0.281264408351405,0.5144441814872152,0.2727098423519386,0.243562990607552,0.12986331365795895
Language Model,BioMistral,0.03809353219462079,0.19888236068309814,0.8587351184120877,0.7228245495577824,0.5184239094728332,0.509558771957579,0.17267772477689103,0.24277884627799412,0.5041780640417197,0.2681366283198409,0.2063272011279991,0.12350332979340703
Language Model,Mistral-v3,0.04241091851780128,0.20494689587734952,0.861286524589589,0.747385836948687,0.5342361753377058,0.5232846545586213,0.1871145039140858,0.2583118291309599,0.5207422838015083,0.28671353500923163,0.21676537195072432,0.12403732629042663
Embedding Model,BioViL-T,0.04241091851780128,0.20494689587734952,0.861286524589589,0.747385836948687,0.5342361753377058,0.5232846545586213,0.1871145039140858,0.2583118291309599,0.5207422838015083,0.28671353500923163,0.21676537195072432,0.12403732629042663
Embedding Model,ResNet50,0.03339304316232179,0.19136798879915623,0.8578223295297123,0.67160014807357,0.513647633158331,0.4320563094529861,0.16382735272529197,0.20842040811306956,0.42480875891613,0.23633716801590685,0.1917623099936938,0.09799216363565896
Label Quality,Extracted - CheXbert,0.056081141976498834,0.22499939192648633,0.8675096893899736,0.9666556014853019,0.5579052224603828,0.9425708824622332,0.21789964204180756,0.30148410523701885,0.702677729952223,0.3457899648994664,0.25261609755898157,0.15130517350036274
Label Quality,Extracted - CheXpert,0.05630637285515218,0.2232536697309392,0.8665685601116598,0.908373817224259,0.5522160721422904,0.7403542476081888,0.21125563072844467,0.2890897183344989,0.6712373078798303,0.33984519244425504,0.2477291035806016,0.15011734225177634
Label Quality,Predicted - CheXbert,0.04241091851780128,0.20494689587734952,0.861286524589589,0.747385836948687,0.5342361753377058,0.5232846545586213,0.1871145039140858,0.2583118291309599,0.5207422838015083,0.28671353500923163,0.21676537195072432,0.12403732629042663
Label Quality,Predicted - CheXpert,0.041696037416900394,0.20513625498228819,0.8616593512617176,0.7490990935360585,0.5316811755419792,0.4966372192405426,0.18563045976497577,0.2559516913481891,0.5314676446972995,0.29086777446385453,0.21903920511851474,0.1225270501462484
Retrieved Samples,3,0.04041100815647723,0.202033346342465,0.860331521142936,0.7392421469741385,0.5300954162527753,0.524703873979545,0.182974166172438,0.24788414847000273,0.5110296700411741,0.2764451072290868,0.21298233194817354,0.12456525339464011
