experiment,variable,bleu4,rougeL,bertscore,radcliqv1,ratescore,f1chexbert,f1radgraph,green,clear_label_presence,clear_severity,clear_descriptive_location,clear_recommendation
Core,Standard RAG,0.020716165172434867,0.14841695370456814,0.8511308289581924,0.6434417634275911,0.44529914577881563,0.37753052303412016,0.1369830331845243,0.21823921606970167,0.3278668623542724,0.1593675059952038,0.17066286126394611,0.07283711796280276
Core,Label Filter only,0.02170620806441169,0.15248497744808495,0.8509892450122953,0.6571314598697507,0.45046293111389735,0.4256281438385755,0.1376823840933054,0.2126128043619051,0.34497300511239365,0.1765212829736211,0.1717095645611889,0.07885335070587823
Core,Label Format only,0.03007749813817265,0.1694925631899324,0.8569499232250152,0.6924876122474389,0.4586555152044794,0.43430879172785647,0.14820419016302497,0.19662772404454057,0.35543201053542783,0.16188549160671462,0.17284638932538793,0.09369612324827305
Core,LaB-RAG,0.030283927216963512,0.16535725310220892,0.8556616456120563,0.6900462584707779,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Filter,No-filter,0.03007749813817265,0.1694925631899324,0.8569499231178126,0.6924876119596887,0.4586555152044794,0.43430879172785647,0.14820419016302497,0.19662772404454057,0.35543201053542783,0.16188549160671462,0.17284638932538793,0.09369612324827305
Filter,Exact,0.030283927216963512,0.16535725310220892,0.8556616455048537,0.6900462598776761,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Filter,Partial,0.02835246206383234,0.16596251026619574,0.8571747033019289,0.686628701929203,0.45431086422683054,0.4434625626172389,0.1443014644726564,0.2048948765562974,0.3590936341835622,0.17944394484412468,0.16822897643069035,0.09598443588665674
Prompt,Naive,0.02170620806441169,0.15248497744808495,0.8509892447442888,0.6571314596094396,0.45046293111389735,0.4256281438385755,0.1376823840933054,0.2126128043619051,0.34497300511239365,0.1765212829736211,0.1717095645611889,0.07885335070587823
Prompt,Simple,0.030283927216963512,0.16535725310220892,0.8556616452904485,0.6900462607177331,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Prompt,Verbose,0.02824681501936806,0.16390262631326544,0.8550193514272892,0.6827534846665626,0.45896406077713703,0.42960361980146156,0.14133600384280498,0.19787837312567527,0.3549079467694575,0.16228267386091128,0.16744254642945766,0.09751009515162991
Prompt,Instruct,0.024999245501088382,0.16170398235088757,0.8521440642879163,0.66363919047368,0.4626318551482968,0.42505197764865027,0.14190077835872006,0.19885049752405867,0.35170962880045614,0.15881294964028775,0.16317555125763927,0.09345894939309214
Language Model,Mistral-v1,0.01605740389358914,0.12312354521771555,0.8376954598285311,0.5856967828710108,0.46422450477990107,0.4300227125991514,0.13423055242156506,0.2573306539583518,0.3512220218829931,0.17873950839328537,0.19220981309958937,0.08241671269513517
Language Model,BioMistral,0.028190787061846342,0.16087494177377676,0.8520926014928938,0.6665081933331564,0.4324194896196935,0.40982893754926125,0.12917375414358503,0.187291530412034,0.31879710018199225,0.1643210431654676,0.1583600684396022,0.07990526787176848
Language Model,Mistral-v3,0.030283927216963512,0.16535725310220892,0.8556616454512525,0.6900462581760007,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Embedding Model,BioViL-T,0.030283927216963512,0.16535725310220892,0.855661645478053,0.6900462590206663,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Embedding Model,ResNet50,0.02375412176573368,0.14846648782591199,0.8540473625653511,0.6489414481146072,0.41631241568705235,0.3217120459476574,0.12172516581091831,0.15785086091965586,0.2572783007360345,0.11368405275779375,0.11870554971442526,0.06542281501068625
Label Quality,Extracted - CheXbert,0.049300533541697895,0.23345674738685646,0.8719783178497132,1.096252913234045,0.5371149248221324,0.9497288857225907,0.22419397489568754,0.3265023520644024,0.6401948284030119,0.2658840784515245,0.2462503057611638,0.1345101736902994
Label Quality,Extracted - CheXpert,0.046898087662089846,0.22873129474007553,0.8707739683203131,1.0442488370393095,0.5275232636371168,0.8013000838090766,0.2214145312261314,0.30847746503097223,0.5870275158494583,0.25196342925659465,0.2439509332558491,0.1315787427150689
Label Quality,Predicted - CheXbert,0.030283927216963512,0.16535725310220892,0.8556616453172492,0.6900462586031066,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Label Quality,Predicted - CheXpert,0.03235853271049667,0.17174906625737663,0.8574902078391408,0.7094355383046703,0.4526075316889651,0.4386835960801788,0.15050426126021385,0.21180122959574393,0.3551780478713932,0.17131294964028776,0.16254752941622735,0.09358618791332103
Retrieved Samples,3,0.019630507451644644,0.15729510053931897,0.8543002492071484,0.6763504479589327,0.44326775589486456,0.4364292806514029,0.1314557346376792,0.1863530766296054,0.35381400923217465,0.1848396282973621,0.15770633186952718,0.09661784242254338
Retrieved Samples,5,0.030283927216963512,0.16535725310220892,0.8556616453976511,0.6900462586490267,0.44821680135863856,0.4384019832086379,0.1438951397798651,0.20160549507446987,0.3543817393637538,0.1785521582733813,0.1616526325224737,0.0932241377640222
Retrieved Samples,10,0.03533158425388138,0.17008640842645062,0.8559041651461622,0.695942370662374,0.4523561451212084,0.4357728452602553,0.14548072961289488,0.20499186065732825,0.3529862249061889,0.1743929856115108,0.16224687317203518,0.08635963686712946
Literature,LaB-RAG,0.030698680797309894,0.16602296190080343,0.8557617627067252,0.6915386284986238,0.4490169979310485,0.4394471368684057,0.1449757546201493,0.20119432902408713,0.3550262202932217,0.17781834778639888,0.16154462265679226,0.09353932918581018
Literature,CXR-RePaiR,0.01940995359105229,0.1240740852894574,0.8477283693078118,0.6077675699378564,0.43080428501984896,0.34805608965809787,0.10763763893184743,0.158667476091027,0.3395425685932304,0.15957705766012475,0.18819955684081677,0.08218146183978915
Literature,CXR-ReDonE,0.009254732972770099,0.1300588207852693,0.8450716773650788,0.6233706288731405,0.4158504263926371,0.33251436174758864,0.10329559632381136,0.12433507843138146,0.3273906097959041,0.165419138901567,0.1711699635097128,0.08770594961609858
Literature,X-REM,0.013313197295807126,0.1619150660761861,0.853653760083676,0.6874742361385529,0.4534566213449006,0.4082428778686195,0.13932522888562965,0.20748610510134927,0.3583465852064665,0.18493077742279018,0.21442917703856024,0.09889311173061183
Literature,CheXagent,0.06135541641047826,0.20950622323358417,0.8644500412880042,0.8049458861648278,0.4391901286620383,0.39684772350221914,0.17766511729577672,0.22542871829727146,0.2558250563271102,0.11311425528677924,0.13950240226369184,0.09223466221950229
Literature,CXRMate,0.05422458975932496,0.21266182021080784,0.8621034736450488,0.7775432458459963,0.4644080645887288,0.42210467913343314,0.1920585982326323,0.23599795615796904,0.3105612096712051,0.1520994979461433,0.1842263864803403,0.09206224228854364
